Description,Frequency
RBW00,433
RBW01,433.0125
RBW02,433.025
RBW03,433.0375
RBW04,433.05
RBW05,433.0625
RBW06,433.075
RBW07,433.0875
RBW08,433.1
RBW09,433.1125
RBW10,433.125
RBW11,433.1375
RBW12,433.15
RBW13,433.1625
RBW14,433.175
RBW15,433.1875
RBW16,433.2
RBW17,433.2125
RBW18,433.225
RBW19,433.2375
RBW20,433.25
RBW21,433.2625
RBW22,433.275
RBW23,433.2875
RBW24,433.3
RBW25,433.3125
RBW26,433.325
RBW27,433.3375
RBW28,433.35
RBW29,433.3625
RBW30,433.375
RU65,430.8125
RU66,430.825
RU67,430.8375
RU68,430.85
RU69,430.8625
RU70,430.875
RU71,430.8875
RU72,430.9
RU73,430.9125
RU74,430.925
RU75,430.9375
RU76,430.95
RU77,430.9625
RU78,430.975
RU79,430.9875
U272,433.4
U274,433.425
U276,433.45
U278,433.475
U280 FM Calling,433.5
U282,433.525
U284,433.55
U288,433.575
